/* noise(x)
0.1	100.41441
6001.3003	99.648621
12002.5	97.452385
18003.701	94.09436
24004.9	89.927948
30006.102	85.305138
36007.301	80.519524
42008.5	75.785103
48009.703	71.240379
54010.902	66.963829
60012.102	62.99136
66013.305	59.331169
72014.5	55.974754
78015.703	52.904457
84016.906	50.098316
90018.102	47.533024
96019.305	45.185627
102020.5	43.034485
108021.7	41.059669
114022.91	39.243149
120024.1	37.568748
126025.3	36.022053
132026.5	34.59026
138027.7	33.262024
144028.91	32.027298
150030.11	30.877178
156031.31	29.80377
162032.5	28.800068
168033.7	27.859831
174034.91	26.977514
180036.11	26.148161
186037.31	25.367338
192038.5	24.631079
198039.7	23.935812
204040.91	23.278332
210042.11	22.655743
216043.31	22.06543
222044.5	21.50503
228045.7	20.972389
234046.91	20.465559
240048.11	19.982761
246049.31	19.522375
252050.52	19.082916
258051.7	18.663029
264052.91	18.261469
270054.09	17.877094
276055.31	17.508848
282056.5	17.155769
288057.72	16.816959
294058.91	16.491592
300060.13	16.178904
306061.31	15.878187
312062.5	15.588783
318063.72	15.31008
324064.91	15.041512
330066.13	14.782548
336067.31	14.532698
342068.5	14.291498
348069.72	14.058518
354070.91	13.833359
360072.13	13.61564
366073.31	13.405009
372074.5	13.201137
378075.72	13.003707
384076.91	12.812431
390078.13	12.627032
396079.31	12.447251
402080.5	12.272844
408081.72	12.10358
414082.91	11.93924
420084.13	11.779619
426085.31	11.624524
432086.5	11.473769
438087.72	11.327181
444088.91	11.184595
450090.13	11.045854
456091.31	10.910809
462092.5	10.779319
468093.72	10.65125
474094.91	10.526475
480096.13	10.404872
486097.31	10.286327
492098.53	10.170729
498099.72	10.057973
504100.91	9.9479609
510102.13	9.8405943
516103.31	9.7357855
522104.53	9.6334448
528105.69	9.5334921
534106.94	9.4358454
540108.13	9.3404303
546109.31	9.2471743
552110.5	9.1560068
558111.69	9.0668621
564112.94	8.9796753
570114.13	8.8943863
576115.31	8.810936
582116.5	8.7292681
588117.75	8.6493282
594118.94	8.5710659
600120.13	8.4944296
606121.31	8.4193716
612122.5	8.3458471
618123.75	8.2738094
624124.94	8.2032185
630126.13	8.1340322
636127.31	8.0662117
642128.5	7.9997172
648129.75	7.9345126
654130.94	7.870564
660132.13	7.8078361
666133.31	7.7462959
672134.5	7.6859126
678135.75	7.6266546
684136.94	7.5684934
690138.13	7.5113993
696139.31	7.4553461
702140.5	7.4003057
708141.75	7.3462529
714142.94	7.2931638
720144.13	7.2410135
726145.31	7.1897783
732146.5	7.1394367
738147.75	7.0899653
744148.94	7.0413451
750150.13	6.9935541
756151.31	6.9465733
762152.5	6.900383
768153.75	6.8549647
774154.94	6.8103008
780156.13	6.7663736
786157.31	6.7231665
792158.5	6.6806626
798159.75	6.6388454
804160.94	6.5977006
810162.13	6.5572128
816163.31	6.5173669
822164.5	6.4781494
828165.75	6.4395461
834166.94	6.4015441
840168.13	6.3641305
846169.31	6.327292
852170.5	6.2910166
858171.75	6.2552924
864172.94	6.220108
870174.13	6.1854525
876175.31	6.1513138
882176.5	6.1176825
888177.75	6.0845466
894178.94	6.0518975
900180.13	6.0197253
906181.31	5.9880195
912182.5	5.9567714
918183.75	5.925971
924184.94	5.8956108
930186.13	5.8656816
936187.31	5.836175
942188.5	5.8070827
948189.75	5.7783961
954190.94	5.7501087
960192.13	5.7222123
966193.31	5.6946993
972194.56	5.6675625
978195.75	5.6407948
984196.94	5.6143899
990198.13	5.5883408
996199.31	5.5626402
1002200.6	5.5372825
1008201.8	5.5122614
1014202.9	5.4875708
1020204.1	5.4632049
1026205.3	5.439157
1032206.6	5.4154224
1038207.8	5.391995
1044208.9	5.3688698
1050210.1	5.3460412
1056211.4	5.3235035
1062212.5	5.3012533
1068213.8	5.2792835
1074214.9	5.2575912
1080216.1	5.2361703
1086217.4	5.2150164
1092218.5	5.1941257
1098219.8	5.1734934
1104220.9	5.1531148
1110222.1	5.1329861
1116223.4	5.1131024
1122224.5	5.093461
1128225.8	5.0740566
1134226.9	5.0548868
1140228.1	5.0359459
1146229.4	5.0172315
1152230.5	4.9987397
1158231.8	4.9804664
1164233	4.9624085
1170234.1	4.9445629
1176235.4	4.9269261
1182236.5	4.9094944
1188237.8	4.8922648
1194239	4.8752341
1200240.1	4.8583994
1206241.4	4.8417573
1212242.5	4.8253055
1218243.8	4.8090401
1224245	4.7929592
1230246.1	4.7770596
1236247.4	4.7613382
1242248.5	4.7457929
1248249.8	4.7304206
1254251	4.7152185
1260252.1	4.7001853
1266253.4	4.685317
1272254.5	4.6706123
1278255.8	4.6560683
1284257	4.6416821
1290258.1	4.6274524
1296259.4	4.6133766
1302260.5	4.599452
1308261.8	4.5856771
1314263	4.5720491
1320264.1	4.5585666
1326265.4	4.5452266
1332266.5	4.5320282
1338267.8	4.5189686
1344269	4.5060458
1350270.1	4.4932585
1356271.4	4.4806046
1362272.5	4.468082
1368273.8	4.4556885
1374275	4.4434233
1380276.1	4.431284
1386277.4	4.4192691
1392278.5	4.4073768
1398279.8	4.3956051
1404281	4.3839531
1410282.1	4.3724184
1416283.4	4.3610001
1422284.5	4.3496966
1428285.8	4.3385057
1434287	4.3274264
1440288.1	4.3164573
1446289.4	4.3055964
1452290.5	4.2948432
1458291.8	4.2841954
1464293	4.2736521
1470294.1	4.2632117
1476295.4	4.2528729
1482296.5	4.2426348
1488297.8	4.2324953
1494299	4.2224536
1500300.1	4.2125087
1506301.4	4.2026591
1512302.5	4.1929035
1518303.8	4.1832409
1524305	4.1736698
1530306.1	4.1641898
