/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 14:12:56 on 20.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
13542.2	0.000130322
13589.9	0.000129255
13637.5	0.000132166
13685.2	0.000133871
13732.9	0.000130635
13780.6	0.000130845
13828.3	0.000131434
13876	0.000127124
13923.6	0.000132458
13971.3	0.000130799
14019	0.000129663
14066.7	0.000125907
14114.4	0.000131519
14162.1	0.000134008
14209.7	0.00013195
14257.4	0.000130441
14305.1	0.000126702
14352.8	0.000132531
14400.5	0.000126324
14448.2	0.000123202
14495.8	0.000127202
14543.5	0.000131772
14591.2	0.000131235
14638.9	0.000129576
14686.6	0.000130581
14734.3	0.000131887
14782	0.000127085
14829.6	0.000131859
14877.3	0.000123992
14925	0.000128584
14972.7	0.000124242
15020.4	0.000125252
15068.1	0.000128321
15115.7	0.000129953
15163.4	0.000127328
15211.1	0.000129939
15258.8	0.000125613
15306.5	0.000127113
15354.2	0.00012854
15401.8	0.000129798
15449.5	0.000130682
15497.2	0.000128249
15544.9	0.000129411
15592.6	0.000130771
15640.3	0.000128448
15687.9	0.00012658
15735.6	0.00012887
15783.3	0.000128785
15831	0.000134794
15878.7	0.000128531
15926.4	0.000127837
15974	0.000130356
16021.7	0.000125156
16069.4	0.000129897
16117.1	0.000128414
16164.8	0.000126537
16212.5	0.000137409
16260.1	0.000126176
16307.8	0.000126415
16355.5	0.000126497
16403.2	0.000134842
16450.9	0.000127246
16498.6	0.000130369
16546.3	0.000126375
16593.9	0.000129418
16641.6	0.000128697
16689.3	0.000126267
16737	0.00012859
16784.7	0.000128563
16832.4	0.000129199
16880	0.000123492
16927.7	0.000125774
16975.4	0.000129542
17023.1	0.000131831
17070.8	0.000125941
17118.5	0.000126279
17166.1	0.000126648
17213.8	0.000129302
17261.5	0.000129278
17309.2	0.000123915
17356.9	0.000126862
17404.6	0.000124824
17452.2	0.0001236
17499.9	0.000129089
17547.6	0.000126459
17595.3	0.000121679
17643	0.000128942
17690.7	0.000128849
