/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 14:18:10 on 20.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
908.971	0.000137088
911.951	0.000133739
914.931	0.00013588
917.912	0.00013982
920.892	0.000139991
923.872	0.00014771
926.852	0.000136001
929.832	0.000139146
932.813	0.000143335
935.793	0.000137661
938.773	0.000139396
941.753	0.000134428
944.734	0.000139598
947.714	0.000132252
950.694	0.000139423
953.674	0.000136368
956.655	0.0001363
959.635	0.00013865
962.615	0.000140344
965.595	0.00013823
968.576	0.000132623
971.556	0.000138028
974.536	0.000135708
977.516	0.000138043
980.496	0.000138919
983.477	0.000140841
986.457	0.000136787
989.437	0.000137843
992.417	0.000134442
995.398	0.000131041
998.378	0.000136235
1001.36	0.000135963
1004.34	0.000134505
1007.32	0.000141129
1010.3	0.000135396
1013.28	0.000144489
1016.26	0.000132552
1019.24	0.000138922
1022.22	0.000141165
1025.2	0.000139453
1028.18	0.000136831
1031.16	0.000134817
1034.14	0.000142006
1037.12	0.000135175
1040.1	0.000141746
1043.08	0.000134829
1046.06	0.000137754
1049.04	0.000133513
1052.02	0.000136325
1055	0.000135478
1057.98	0.000139312
1060.96	0.000134995
1063.94	0.000138405
1066.92	0.00013678
1069.9	0.000135372
1072.88	0.000131289
1075.86	0.000134794
1078.84	0.000135484
1081.82	0.000133924
1084.8	0.000143862
1087.78	0.000129256
1090.77	0.000142592
1093.75	0.000137769
1096.73	0.000134948
1099.71	0.000138177
1102.69	0.000135374
1105.67	0.000139489
1108.65	0.000139006
1111.63	0.000137686
1114.61	0.000138295
1117.59	0.000134532
1120.57	0.000140138
1123.55	0.000133695
1126.53	0.000136432
1129.51	0.000138238
1132.49	0.000142042
1135.47	0.00013609
1138.45	0.00013543
1141.43	0.000136318
1144.41	0.000143658
1147.39	0.000138949
1150.37	0.000136904
1153.35	0.000143844
1156.33	0.000131097
1159.31	0.000140374
1162.29	0.000139944
1165.27	0.000141844
1168.25	0.000132602
1171.23	0.000136868
1174.21	0.000132272
1177.19	0.000137256
1180.17	0.000132867
1183.15	0.000139162
1186.13	0.000137499
1189.11	0.000139089
1192.09	0.000135075
1195.07	0.000136273
1198.05	0.000137511
1201.03	0.000138483
1204.01	0.000137386
1206.99	0.000135417
1209.97	0.000136849
1212.95	0.00013732
1215.93	0.000136072
1218.92	0.000134753
1221.9	0.000133664
1224.88	0.000137185
1227.86	0.000138099
1230.84	0.000132546
1233.82	0.00013164
1236.8	0.000144473
1239.78	0.000141381
1242.76	0.000139168
1245.74	0.000137345
1248.72	0.00013154
1251.7	0.00013142
1254.68	0.000140778
1257.66	0.00013875
1260.64	0.00013185
1263.62	0.000134981
1266.6	0.000137488
1269.58	0.00013543
1272.56	0.000141953
1275.54	0.000137894
1278.52	0.000136289
1281.5	0.000136248
1284.48	0.000142444
1287.46	0.000140366
1290.44	0.000135784
1293.42	0.000133075
1296.4	0.000143849
1299.38	0.000137038
1302.36	0.000136148
1305.34	0.000140666
1308.32	0.000133894
1311.3	0.000133465
1314.28	0.000137862
1317.26	0.000137353
1320.24	0.000136423
1323.22	0.000141282
1326.2	0.000140457
1329.18	0.000140265
1332.16	0.000128718
1335.14	0.000143154
1338.12	0.00014371
1341.1	0.00013833
1344.08	0.000133763
1347.06	0.000141354
1350.05	0.000136218
1353.03	0.000140043
1356.01	0.000131692
1358.99	0.00013551
1361.97	0.000130567
1364.95	0.000138927
1367.93	0.000136287
1370.91	0.000137808
1373.89	0.000141097
1376.87	0.00013336
1379.85	0.000136979
1382.83	0.000144742
1385.81	0.000141115
1388.79	0.000139336
1391.77	0.000135136
1394.75	0.000132953
1397.73	0.000135907
1400.71	0.000133516
1403.69	0.000139407
1406.67	0.000133774
1409.65	0.000138816
1412.63	0.000137551
1415.61	0.000140036
1418.59	0.000135889
1421.57	0.000134033
1424.55	0.000136048
1427.53	0.000135044
1430.51	0.000129849
1433.49	0.000143338
1436.47	0.000138685
1439.45	0.000144557
1442.43	0.000136244
1445.41	0.000136734
1448.39	0.000140834
1451.37	0.000135491
1454.35	0.000141082
1457.33	0.000136789
1460.31	0.000136485
1463.29	0.000136173
1466.27	0.000137838
1469.25	0.000143146
1472.23	0.000133643
1475.21	0.000136247
1478.2	0.000141961
1481.18	0.000145184
1484.16	0.000142084
1487.14	0.000136293
1490.12	0.000137634
1493.1	0.000138426
1496.08	0.000142494
1499.06	0.000134646
1502.04	0.000136568
1505.02	0.000140961
1508	0.00013041
1510.98	0.00013712
1513.96	0.000137112
1516.94	0.000132452
1519.92	0.000137011
1522.9	0.00014045
1525.88	0.00013416
1528.86	0.000138537
1531.84	0.000142047
1534.82	0.000136357
1537.8	0.000139914
1540.78	0.000138046
1543.76	0.000134508
1546.74	0.000137446
1549.72	0.000140526
1552.7	0.000141817
1555.68	0.000140435
1558.66	0.000138274
1561.64	0.000139127
1564.62	0.000136748
1567.6	0.000134634
1570.58	0.000138476
1573.56	0.000136802
1576.54	0.000140403
1579.52	0.000137547
1582.5	0.000140729
1585.48	0.000139893
1588.46	0.000135946
1591.44	0.000140324
1594.42	0.000143077
1597.4	0.000134517
1600.38	0.000137452
1603.36	0.000144562
1606.35	0.000141353
1609.33	0.000139005
1612.31	0.000137803
1615.29	0.000141701
1618.27	0.000141391
1621.25	0.000141666
1624.23	0.000138254
1627.21	0.000137258
1630.19	0.000138251
1633.17	0.000136917
1636.15	0.000137987
1639.13	0.000135833
1642.11	0.000136947
1645.09	0.00013659
1648.07	0.000135774
1651.05	0.000144682
1654.03	0.000134067
1657.01	0.000137963
1659.99	0.000135731
1662.97	0.000138214
1665.95	0.000137768
1668.93	0.000140314
1671.91	0.000143609
1674.89	0.00013572
1677.87	0.000138228
1680.85	0.00013855
1683.83	0.000137234
1686.81	0.000135582
1689.79	0.000139459
1692.77	0.000136843
1695.75	0.000133051
1698.73	0.000134099
1701.71	0.000140325
1704.69	0.00013672
1707.67	0.00013685
1710.65	0.000140078
1713.63	0.000138624
1716.61	0.000140608
1719.59	0.000138405
1722.57	0.000137233
1725.55	0.000139645
1728.53	0.000136471
1731.51	0.000137794
1734.5	0.00013534
1737.48	0.000138967
1740.46	0.00013568
1743.44	0.000137192
1746.42	0.000137329
1749.4	0.0001313
1752.38	0.000135345
1755.36	0.00013876
1758.34	0.000139697
1761.32	0.000139581
1764.3	0.000136938
1767.28	0.000136083
1770.26	0.000141144
1773.24	0.000140555
1776.22	0.000139115
1779.2	0.000139389
1782.18	0.000135264
1785.16	0.000138489
1788.14	0.000138483
1791.12	0.000135393
1794.1	0.000136011
1797.08	0.000135919
1800.06	0.000135121
1803.04	0.000140595
1806.02	0.000139381
1809	0.000133588
1811.98	0.000136694
1814.96	0.000144431
1817.94	0.000141506
1820.92	0.000139879
1823.9	0.000135447
1826.88	0.0001382
1829.86	0.000134951
1832.84	0.000139065
1835.82	0.000131745
1838.8	0.000133369
1841.78	0.000133843
1844.76	0.000141539
1847.74	0.000138066
1850.72	0.000138826
1853.7	0.000135784
1856.68	0.000144139
1859.66	0.000142828
1862.65	0.000134643
1865.63	0.000144707
1868.61	0.000139701
1871.59	0.000136674
1874.57	0.000138234
1877.55	0.000139114
1880.53	0.000138296
1883.51	0.000133669
1886.49	0.000135694
1889.47	0.000142088
1892.45	0.000135818
1895.43	0.00014103
1898.41	0.000136271
1901.39	0.000133343
1904.37	0.00013959
1907.35	0.000139945
1910.33	0.000138392
1913.31	0.000138126
1916.29	0.000140451
1919.27	0.000138594
1922.25	0.000131774
1925.23	0.000131953
1928.21	0.000136543
1931.19	0.000137952
1934.17	0.000143947
1937.15	0.000137236
1940.13	0.00013606
1943.11	0.000137438
1946.09	0.000136238
1949.07	0.000137507
1952.05	0.000138498
1955.03	0.00014097
1958.01	0.000139572
1960.99	0.00013768
1963.97	0.000140224
1966.95	0.00013785
1969.93	0.000131564
1972.91	0.000131289
1975.89	0.000139466
1978.87	0.000138022
1981.85	0.000138324
1984.83	0.000138292
1987.81	0.000136269
1990.8	0.000136641
1993.78	0.000133328
1996.76	0.000127719
1999.74	0.000139227
2002.72	0.0001413
2005.7	0.000139042
2008.68	0.000140678
2011.66	0.00014001
2014.64	0.000136044
2017.62	0.000131781
2020.6	0.000138142
2023.58	0.00014043
2026.56	0.000141242
2029.54	0.000136392
2032.52	0.000140249
2035.5	0.000137832
2038.48	0.000134843
2041.46	0.000140707
2044.44	0.000140442
2047.42	0.000135411
2050.4	0.000134426
2053.38	0.000136285
2056.36	0.000139311
2059.34	0.00013951
2062.32	0.000141913
2065.3	0.000134013
2068.28	0.000138473
2071.26	0.000133363
2074.24	0.000136209
2077.22	0.000136169
2080.2	0.000138548
2083.18	0.00014133
2086.16	0.000135776
2089.14	0.000134825
2092.12	0.000140973
2095.1	0.000140474
2098.08	0.000134026
2101.06	0.000135543
2104.04	0.00013764
2107.02	0.000135796
2110	0.00013326
2112.98	0.000137215
2115.96	0.000132623
2118.95	0.000140696
2121.93	0.00013464
2124.91	0.000135375
2127.89	0.000137193
2130.87	0.000146006
2133.85	0.000139151
2136.83	0.000143362
2139.81	0.000136696
2142.79	0.0001326
2145.77	0.000138729
2148.75	0.00013901
2151.73	0.000138889
2154.71	0.00013417
2157.69	0.000137236
2160.67	0.000135607
2163.65	0.00013872
2166.63	0.000139264
2169.61	0.000138528
2172.59	0.000135562
2175.57	0.000139532
2178.55	0.000138696
2181.53	0.000141383
2184.51	0.000139263
2187.49	0.000140129
2190.47	0.00013252
2193.45	0.000142545
2196.43	0.00013374
2199.41	0.000130263
2202.39	0.00013759
2205.37	0.000138374
2208.35	0.000135917
2211.33	0.000135353
2214.31	0.000137379
2217.29	0.000136647
2220.27	0.000132149
2223.25	0.000134327
2226.23	0.000134279
2229.21	0.000136201
2232.19	0.000129546
2235.17	0.000136749
2238.15	0.000136516
2241.13	0.000137242
2244.11	0.00013464
2247.1	0.000141298
2250.08	0.000137202
2253.06	0.000136562
2256.04	0.000139056
2259.02	0.000131788
2262	0.000139424
2264.98	0.000140743
2267.96	0.000134124
2270.94	0.000130645
2273.92	0.000136549
2276.9	0.000140384
2279.88	0.000136716
2282.86	0.000141494
2285.84	0.000134574
2288.82	0.000137692
2291.8	0.000135017
2294.78	0.000141953
2297.76	0.000137067
2300.74	0.000133592
2303.72	0.000135858
2306.7	0.000139793
2309.68	0.00013236
2312.66	0.000135915
2315.64	0.000136672
2318.62	0.000137546
2321.6	0.000142553
2324.58	0.000133141
2327.56	0.000131737
2330.54	0.000140695
2333.52	0.000144921
2336.5	0.000135956
2339.48	0.000139669
2342.46	0.000145656
2345.44	0.000135579
2348.42	0.000135822
2351.4	0.000140851
2354.38	0.000139312
2357.36	0.000141477
2360.34	0.000139643
2363.32	0.00013986
2366.3	0.00014603
2369.28	0.000144125
2372.26	0.000136192
2375.25	0.000131476
2378.23	0.000132766
2381.21	0.000136816
2384.19	0.000138397
2387.17	0.000141159
2390.15	0.000138656
2393.13	0.000139855
2396.11	0.000141284
2399.09	0.000140054
2402.07	0.000139457
2405.05	0.000141173
2408.03	0.000138191
2411.01	0.00014141
2413.99	0.000137316
2416.97	0.000138595
2419.95	0.000141859
2422.93	0.000141147
2425.91	0.000132726
2428.89	0.00013634
2431.87	0.000140599
2434.85	0.000134477
2437.83	0.000140288
2440.81	0.00013503
2443.79	0.000133083
2446.77	0.000135445
2449.75	0.000136514
2452.73	0.000131571
2455.71	0.000140989
2458.69	0.000135038
2461.67	0.000135227
2464.65	0.000132899
2467.63	0.000138126
2470.61	0.000140022
2473.59	0.000135743
2476.57	0.000133748
2479.55	0.00014246
2482.53	0.000138095
2485.51	0.000133061
2488.49	0.000141952
2491.47	0.000140699
2494.45	0.000136592
2497.43	0.00013907
2500.41	0.000134379
2503.4	0.000142556
2506.38	0.000139508
2509.36	0.000137324
2512.34	0.000142312
2515.32	0.000138708
2518.3	0.000133964
2521.28	0.000131197
2524.26	0.000141063
2527.24	0.000135565
2530.22	0.000136265
2533.2	0.00013838
2536.18	0.000135701
2539.16	0.000137977
2542.14	0.000137958
2545.12	0.000138728
2548.1	0.000137691
2551.08	0.000139195
2554.06	0.000138438
2557.04	0.000136576
2560.02	0.000134758
2563	0.000139933
2565.98	0.000136429
2568.96	0.000133405
2571.94	0.00013771
2574.92	0.000142374
2577.9	0.000128405
2580.88	0.000138797
2583.86	0.000138733
2586.84	0.000141649
2589.82	0.000136798
2592.8	0.000132085
2595.78	0.000138122
2598.76	0.000132193
2601.74	0.000142932
2604.72	0.000136201
2607.7	0.000134442
2610.68	0.000136298
2613.66	0.000137568
2616.64	0.000136625
2619.62	0.000140031
2622.6	0.000137829
2625.58	0.000138043
2628.56	0.000140109
2631.55	0.000139756
2634.53	0.000135321
2637.51	0.000140367
2640.49	0.000137762
2643.47	0.000139415
2646.45	0.000129704
2649.43	0.000137567
2652.41	0.00014243
2655.39	0.000141361
2658.37	0.00013401
2661.35	0.000133576
2664.33	0.000136047
2667.31	0.000133605
2670.29	0.000136589
2673.27	0.000133844
2676.25	0.000136557
2679.23	0.000138574
2682.21	0.000132258
2685.19	0.000133475
2688.17	0.000136457
2691.15	0.000137544
2694.13	0.000138995
2697.11	0.000136772
2700.09	0.00013686
2703.07	0.000134631
2706.05	0.000132955
2709.03	0.000134235
2712.01	0.000136311
2714.99	0.000140627
2717.97	0.000136655
2720.95	0.000137712
2723.93	0.000139989
2726.91	0.000132083
