/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 14:55:14 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
923.872	0.000157989
926.852	0.000155001
929.832	0.00015547
932.813	0.000155288
935.793	0.000154943
938.773	0.000160913
941.753	0.000153914
944.734	0.000165336
947.714	0.000158636
950.694	0.000154804
953.674	0.000152433
956.655	0.000156573
959.635	0.000158382
962.615	0.000155681
965.595	0.0001619
968.576	0.000156678
971.556	0.000160276
974.536	0.000150131
977.516	0.000152671
980.496	0.000155089
983.477	0.000155293
986.457	0.000155939
989.437	0.00016022
992.417	0.000156988
995.398	0.000153725
998.378	0.000155202
1001.36	0.000156128
1004.34	0.000156629
1007.32	0.000160716
1010.3	0.000148016
1013.28	0.000156142
1016.26	0.000155713
1019.24	0.000153145
1022.22	0.000157723
1025.2	0.000165198
1028.18	0.000155514
1031.16	0.00015779
1034.14	0.000155164
1037.12	0.000156402
1040.1	0.000154057
1043.08	0.000156727
1046.06	0.000150237
1049.04	0.000156013
1052.02	0.000154493
1055	0.000161813
1057.98	0.000154397
1060.96	0.000159777
1063.94	0.000159908
1066.92	0.000161289
1069.9	0.000155978
1072.88	0.000159331
1075.86	0.000154949
1078.84	0.000158682
1081.82	0.00015684
1084.8	0.000156578
1087.78	0.000156085
1090.77	0.000155782
1093.75	0.000150255
1096.73	0.00015985
1099.71	0.000155948
1102.69	0.000158206
1105.67	0.000160921
1108.65	0.000155533
1111.63	0.000154499
1114.61	0.000154516
1117.59	0.000158134
1120.57	0.000152511
1123.55	0.000157958
1126.53	0.000161674
1129.51	0.000157553
1132.49	0.000160862
1135.47	0.000154564
1138.45	0.000162538
1141.43	0.000158648
1144.41	0.00015982
1147.39	0.000155967
1150.37	0.000159304
1153.35	0.000154419
1156.33	0.000155519
1159.31	0.000153205
1162.29	0.000157259
1165.27	0.000151909
1168.25	0.000156265
1171.23	0.000160919
1174.21	0.000157719
1177.19	0.000151992
1180.17	0.000153218
1183.15	0.000149354
1186.13	0.000155955
1189.11	0.000161945
1192.09	0.000155708
1195.07	0.000153515
1198.05	0.000160023
1201.03	0.000153706
1204.01	0.000156517
1206.99	0.000160375
1209.97	0.000161157
1212.95	0.000159714
1215.93	0.000159743
1218.92	0.000159938
1221.9	0.000161722
1224.88	0.000160819
1227.86	0.000156867
1230.84	0.000159697
1233.82	0.00016018
1236.8	0.00015659
1239.78	0.000160887
1242.76	0.000157651
1245.74	0.00015941
1248.72	0.000161118
1251.7	0.000152453
1254.68	0.000150762
1257.66	0.000156289
1260.64	0.000157592
1263.62	0.000158493
1266.6	0.000154901
1269.58	0.000160807
1272.56	0.000156658
1275.54	0.00015081
1278.52	0.000158209
1281.5	0.000154896
1284.48	0.000159842
1287.46	0.000158038
1290.44	0.000163611
1293.42	0.00015817
1296.4	0.000157156
1299.38	0.000160814
1302.36	0.000150274
1305.34	0.000154614
1308.32	0.000152899
1311.3	0.000154831
1314.28	0.000150141
1317.26	0.000154398
1320.24	0.000156326
1323.22	0.000156442
1326.2	0.000164735
1329.18	0.000162931
1332.16	0.00015642
1335.14	0.000157578
1338.12	0.00015269
1341.1	0.000153794
1344.08	0.000149972
1347.06	0.000161559
1350.05	0.000151973
1353.03	0.000155413
1356.01	0.000158528
1358.99	0.000152515
1361.97	0.000152498
1364.95	0.000160951
1367.93	0.000157279
1370.91	0.000158055
1373.89	0.000155219
1376.87	0.000158301
1379.85	0.000159121
1382.83	0.000155186
1385.81	0.000162234
1388.79	0.000154589
1391.77	0.000156321
1394.75	0.000158242
1397.73	0.000161255
1400.71	0.000159333
1403.69	0.000158527
1406.67	0.000164863
1409.65	0.00015825
1412.63	0.000156224
1415.61	0.000158225
1418.59	0.000154899
1421.57	0.000149474
1424.55	0.000157345
1427.53	0.000164373
1430.51	0.000161261
1433.49	0.000160444
1436.47	0.000152412
1439.45	0.000159394
1442.43	0.000158788
1445.41	0.000151308
1448.39	0.000155415
1451.37	0.00016089
1454.35	0.000155811
1457.33	0.000153437
1460.31	0.000155514
1463.29	0.000152313
1466.27	0.000151207
1469.25	0.000157027
1472.23	0.000158331
1475.21	0.000152458
1478.2	0.000158612
1481.18	0.000156377
1484.16	0.000159393
1487.14	0.000156848
1490.12	0.000156111
1493.1	0.000153673
1496.08	0.00014552
1499.06	0.000161832
1502.04	0.000156156
1505.02	0.000152114
1508	0.000161385
1510.98	0.00016051
1513.96	0.000160868
1516.94	0.000158077
1519.92	0.00015719
1522.9	0.000147645
1525.88	0.000158007
1528.86	0.000164468
1531.84	0.000153475
1534.82	0.000162881
1537.8	0.000152956
1540.78	0.000154304
1543.76	0.000155555
1546.74	0.000163964
1549.72	0.000161201
1552.7	0.000151915
1555.68	0.000156622
1558.66	0.000155479
1561.64	0.00015114
1564.62	0.000154391
1567.6	0.000172103
1570.58	0.000160748
1573.56	0.00015541
1576.54	0.000163131
1579.52	0.0001511
1582.5	0.000164106
1585.48	0.00016235
1588.46	0.000151324
1591.44	0.000153567
1594.42	0.000160355
1597.4	0.000158853
1600.38	0.00015785
1603.36	0.000154811
1606.35	0.000161975
1609.33	0.000154127
1612.31	0.000160106
1615.29	0.0001555
1618.27	0.00015737
1621.25	0.000157884
1624.23	0.000166066
1627.21	0.000161763
1630.19	0.000159764
1633.17	0.000155382
1636.15	0.000152617
1639.13	0.000160647
1642.11	0.000155517
1645.09	0.000152944
1648.07	0.000159028
1651.05	0.000157297
1654.03	0.00015381
1657.01	0.000157486
1659.99	0.000156539
1662.97	0.000158615
1665.95	0.000163673
1668.93	0.000158559
1671.91	0.000158219
1674.89	0.000153076
1677.87	0.000155412
1680.85	0.000156273
1683.83	0.000157129
1686.81	0.000155425
1689.79	0.000160454
1692.77	0.000153913
1695.75	0.000155966
1698.73	0.000159215
1701.71	0.000158437
1704.69	0.000160309
1707.67	0.000156174
1710.65	0.000154196
1713.63	0.00015296
1716.61	0.000155019
1719.59	0.000150057
1722.57	0.000156794
1725.55	0.000151878
1728.53	0.000147313
1731.51	0.000163053
1734.5	0.000163285
1737.48	0.000151831
1740.46	0.000154472
1743.44	0.000161465
1746.42	0.000161878
1749.4	0.000159177
1752.38	0.000158098
1755.36	0.000152886
1758.34	0.000163833
1761.32	0.000158005
1764.3	0.000157355
1767.28	0.000161974
1770.26	0.000157962
1773.24	0.000152876
1776.22	0.000156801
1779.2	0.000149926
1782.18	0.000155444
1785.16	0.000155981
1788.14	0.000154547
1791.12	0.000151602
1794.1	0.00015911
1797.08	0.000156651
1800.06	0.000157733
1803.04	0.00016011
1806.02	0.000157802
1809	0.000155383
1811.98	0.000153062
1814.96	0.000158675
1817.94	0.000154388
1820.92	0.000154905
1823.9	0.000150442
1826.88	0.000155823
1829.86	0.000159971
1832.84	0.000156912
1835.82	0.000155124
1838.8	0.000159701
1841.78	0.000164208
1844.76	0.000157517
1847.74	0.000163866
1850.72	0.000159045
1853.7	0.000153826
1856.68	0.000159812
1859.66	0.000161424
1862.65	0.000166886
1865.63	0.000162815
1868.61	0.000151052
1871.59	0.000160618
1874.57	0.00015902
1877.55	0.00016053
1880.53	0.000157735
1883.51	0.000151216
1886.49	0.000158478
1889.47	0.000153423
1892.45	0.000153789
1895.43	0.000161309
1898.41	0.000153775
1901.39	0.000161058
1904.37	0.000163046
1907.35	0.000157703
1910.33	0.000157906
1913.31	0.00016308
1916.29	0.000155
1919.27	0.000155227
1922.25	0.000164178
1925.23	0.000154113
1928.21	0.000153304
1931.19	0.000160589
1934.17	0.000151914
1937.15	0.000164232
1940.13	0.000154538
1943.11	0.000157972
1946.09	0.00015977
1949.07	0.000157208
1952.05	0.000159863
1955.03	0.000159982
1958.01	0.000149074
1960.99	0.000154113
1963.97	0.000160692
1966.95	0.000156894
1969.93	0.000161829
1972.91	0.000153715
1975.89	0.000154315
1978.87	0.000153807
1981.85	0.000152272
1984.83	0.000154465
1987.81	0.000153428
1990.8	0.000156532
1993.78	0.000164913
1996.76	0.000148947
1999.74	0.000157434
2002.72	0.000158413
2005.7	0.000159783
2008.68	0.000156765
2011.66	0.00015547
2014.64	0.00015191
2017.62	0.000158812
2020.6	0.000162418
2023.58	0.000151763
2026.56	0.000159411
2029.54	0.000157004
2032.52	0.000144747
2035.5	0.000159609
2038.48	0.000151741
2041.46	0.000155039
2044.44	0.000159158
2047.42	0.000154952
2050.4	0.000156835
2053.38	0.00015737
2056.36	0.000154701
2059.34	0.000158292
2062.32	0.000159761
2065.3	0.000165281
2068.28	0.000154585
2071.26	0.000156878
2074.24	0.000156767
2077.22	0.000158621
2080.2	0.000157019
2083.18	0.000157525
2086.16	0.00015714
2089.14	0.000157007
2092.12	0.000159493
2095.1	0.000150895
2098.08	0.000153841
2101.06	0.000159843
2104.04	0.000155171
2107.02	0.000156867
2110	0.000155385
2112.98	0.000152797
2115.96	0.000156477
2118.95	0.000154449
2121.93	0.000157514
2124.91	0.000157824
2127.89	0.000154677
2130.87	0.000161056
2133.85	0.000153582
2136.83	0.000166077
2139.81	0.000160111
2142.79	0.000159389
2145.77	0.000160959
2148.75	0.000156562
2151.73	0.000156455
2154.71	0.000160465
2157.69	0.000159071
2160.67	0.000155201
2163.65	0.000166513
2166.63	0.000151701
2169.61	0.000157386
2172.59	0.000157713
2175.57	0.000155799
2178.55	0.00015536
2181.53	0.000151037
2184.51	0.000150411
2187.49	0.000155475
2190.47	0.000161407
2193.45	0.00015406
2196.43	0.000158136
2199.41	0.000156365
2202.39	0.000153704
2205.37	0.000158326
2208.35	0.000156838
2211.33	0.000156402
2214.31	0.00016013
2217.29	0.000160849
2220.27	0.000155941
2223.25	0.000153793
2226.23	0.000157731
2229.21	0.000162107
2232.19	0.000158779
2235.17	0.000160713
2238.15	0.000152423
2241.13	0.000158732
2244.11	0.000155177
2247.1	0.000155606
2250.08	0.000156858
2253.06	0.000153388
2256.04	0.000155145
2259.02	0.000154443
2262	0.00015471
2264.98	0.000150932
2267.96	0.000160372
2270.94	0.000159109
2273.92	0.000161854
2276.9	0.000163094
2279.88	0.000162848
2282.86	0.000160157
2285.84	0.000157068
2288.82	0.000155881
2291.8	0.000158394
2294.78	0.000158572
2297.76	0.000154129
2300.74	0.000151984
2303.72	0.000163403
2306.7	0.000155461
2309.68	0.000159981
2312.66	0.000160242
2315.64	0.000152151
2318.62	0.000156221
2321.6	0.000150674
2324.58	0.000163274
2327.56	0.000155651
2330.54	0.00015699
2333.52	0.000153847
2336.5	0.000159442
2339.48	0.000158405
2342.46	0.000165254
2345.44	0.000154565
2348.42	0.000160705
2351.4	0.000157011
2354.38	0.000158346
2357.36	0.000157173
2360.34	0.000154749
2363.32	0.000151713
2366.3	0.000153432
2369.28	0.000158113
2372.26	0.000154544
2375.25	0.000155679
2378.23	0.000154257
2381.21	0.000154519
2384.19	0.000150217
2387.17	0.000153678
2390.15	0.000159241
2393.13	0.000159626
2396.11	0.00015262
2399.09	0.000154682
2402.07	0.000145716
2405.05	0.000153994
2408.03	0.000152672
2411.01	0.000153041
2413.99	0.000154688
2416.97	0.000159931
2419.95	0.00015432
2422.93	0.000160552
2425.91	0.000158684
2428.89	0.000157082
2431.87	0.000160604
2434.85	0.000155479
2437.83	0.000152597
2440.81	0.000154336
2443.79	0.000152676
2446.77	0.000154185
2449.75	0.000160005
2452.73	0.000152538
2455.71	0.000160486
2458.69	0.000156931
2461.67	0.000153653
2464.65	0.000159479
2467.63	0.000154504
2470.61	0.00015289
2473.59	0.000157217
2476.57	0.000164907
2479.55	0.000162648
2482.53	0.000154734
2485.51	0.000151178
2488.49	0.000155716
2491.47	0.000157677
2494.45	0.00015468
2497.43	0.000155134
2500.41	0.000160077
2503.4	0.000155492
2506.38	0.000158063
2509.36	0.000161806
2512.34	0.000153143
2515.32	0.00015413
