/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 14:7:36 on 20.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
1907.35	0.000139145
3814.7	0.000132815
5722.05	0.000132942
7629.39	0.00013672
9536.74	0.000125607
11444.1	0.000132269
13351.4	0.000129501
15258.8	0.000128867
17166.1	0.000127688
19073.5	0.000121747
20980.8	0.000121711
22888.2	0.000124957
24795.5	0.000120204
26702.9	0.000113651
28610.2	0.000111496
30517.6	0.000110507
32424.9	0.000110336
34332.3	0.000105339
36239.6	0.000107273
38147	0.000101756
40054.3	0.000103764
41961.7	9.74303e-005
43869	9.4751e-005
45776.4	9.29612e-005
47683.7	9.22809e-005
49591.1	9.2326e-005
51498.4	8.63523e-005
53405.8	8.76725e-005
55313.1	8.47121e-005
57220.5	8.06862e-005
59127.8	8.11209e-005
61035.2	8.33606e-005
62942.5	7.90248e-005
64849.9	7.70495e-005
66757.2	7.47146e-005
68664.6	7.31199e-005
70571.9	7.37859e-005
72479.3	7.1977e-005
74386.6	6.67476e-005
76293.9	6.68462e-005
78201.3	6.36349e-005
80108.6	6.50604e-005
82016	6.55594e-005
83923.3	6.25307e-005
85830.7	6.37456e-005
87738	6.02593e-005
89645.4	5.85725e-005
91552.7	6.11348e-005
93460.1	5.73326e-005
95367.4	5.73091e-005
97274.8	5.73543e-005
99182.1	5.46418e-005
101089	5.34626e-005
102997	5.31807e-005
104904	5.35774e-005
106812	5.21659e-005
108719	5.09583e-005
110626	5.06279e-005
112534	5.16259e-005
114441	4.89466e-005
116348	5.09435e-005
118256	4.85937e-005
120163	4.62557e-005
122070	4.58215e-005
123978	4.66865e-005
125885	4.53696e-005
127792	4.34908e-005
129700	4.31987e-005
131607	4.26416e-005
133514	4.15017e-005
135422	4.27255e-005
137329	4.29286e-005
139236	4.20306e-005
141144	4.12946e-005
143051	3.8766e-005
144959	4.09017e-005
146866	3.86248e-005
148773	3.98261e-005
150681	3.80111e-005
152588	3.82419e-005
154495	3.79524e-005
156403	3.68669e-005
158310	3.65647e-005
160217	3.58002e-005
162125	3.46261e-005
164032	3.63251e-005
165939	3.56098e-005
167847	3.56098e-005
169754	3.54169e-005
171661	3.47132e-005
173569	3.24125e-005
175476	3.27224e-005
177383	3.35862e-005
179291	3.26638e-005
181198	3.2475e-005
183105	3.11841e-005
185013	3.26606e-005
186920	3.22565e-005
188828	3.122e-005
190735	3.1727e-005
192642	3.02169e-005
194550	3.08217e-005
196457	2.95027e-005
198364	3.01744e-005
200272	2.85877e-005
202179	2.90835e-005
204086	2.92091e-005
205994	2.8595e-005
207901	2.90964e-005
209808	2.87623e-005
211716	2.86153e-005
213623	2.83248e-005
215530	2.85426e-005
217438	2.69518e-005
219345	2.69771e-005
221252	2.66915e-005
223160	2.65178e-005
225067	2.63249e-005
226975	2.65874e-005
228882	2.73111e-005
230789	2.62201e-005
232697	2.48745e-005
234604	2.67463e-005
236511	2.58854e-005
238419	2.40957e-005
240326	2.53842e-005
242233	2.50819e-005
244141	2.41738e-005
246048	2.43221e-005
247955	2.37954e-005
249863	2.42376e-005
251770	2.37166e-005
253677	2.38061e-005
255585	2.3334e-005
257492	2.38682e-005
259399	2.24914e-005
261307	2.30695e-005
263214	2.34313e-005
265121	2.26233e-005
267029	2.27813e-005
268936	2.12376e-005
270844	2.12704e-005
272751	2.27982e-005
274658	2.07755e-005
276566	2.19501e-005
278473	2.13546e-005
280380	2.12624e-005
282288	2.16959e-005
284195	2.11764e-005
286102	2.0966e-005
288010	2.01869e-005
289917	2.09257e-005
291824	1.95354e-005
293732	1.95506e-005
295639	2.02716e-005
297546	2.05962e-005
299454	2.03828e-005
301361	1.88505e-005
303268	1.9771e-005
305176	1.99793e-005
307083	1.98097e-005
308991	1.97646e-005
310898	1.95297e-005
312805	1.90407e-005
314713	1.84025e-005
316620	1.87439e-005
318527	1.8198e-005
320435	1.85122e-005
322342	1.89418e-005
324249	1.83037e-005
326157	1.82292e-005
328064	1.8209e-005
329971	1.86642e-005
331879	1.7947e-005
333786	1.84248e-005
335693	1.7991e-005
337601	1.79945e-005
339508	1.78662e-005
341415	1.74828e-005
343323	1.81898e-005
345230	1.72443e-005
347137	1.77123e-005
349045	1.68462e-005
350952	1.75183e-005
352860	1.70114e-005
354767	1.70327e-005
356674	1.70287e-005
358582	1.65005e-005
360489	1.64396e-005
362396	1.69602e-005
364304	1.60253e-005
366211	1.6676e-005
368118	1.71385e-005
370026	1.66092e-005
371933	1.6388e-005
373840	1.65893e-005
375748	1.62963e-005
377655	1.59863e-005
379562	1.57659e-005
381470	1.58117e-005
383377	1.5524e-005
385284	1.56733e-005
387192	1.46297e-005
389099	1.55724e-005
391006	1.5567e-005
392914	1.53464e-005
394821	1.4675e-005
396729	1.55053e-005
398636	1.46136e-005
400543	1.49913e-005
402451	1.55728e-005
404358	1.45494e-005
406265	1.46116e-005
408173	1.49796e-005
410080	1.45542e-005
411987	1.47064e-005
413895	1.44699e-005
415802	1.49404e-005
417709	1.43195e-005
419617	1.42637e-005
421524	1.44979e-005
423431	1.4717e-005
425339	1.41516e-005
427246	1.41916e-005
429153	1.48996e-005
431061	1.36155e-005
432968	1.42599e-005
434876	1.43021e-005
436783	1.39596e-005
438690	1.421e-005
440598	1.354e-005
442505	1.34327e-005
444412	1.40002e-005
446320	1.3729e-005
448227	1.29447e-005
450134	1.3125e-005
452042	1.3313e-005
453949	1.33079e-005
455856	1.2982e-005
457764	1.37084e-005
459671	1.23551e-005
461578	1.35729e-005
463486	1.30637e-005
465393	1.3535e-005
467300	1.30288e-005
469208	1.28083e-005
471115	1.32477e-005
473022	1.26816e-005
474930	1.28926e-005
476837	1.28273e-005
478745	1.26855e-005
480652	1.20795e-005
482559	1.22208e-005
484467	1.29421e-005
486374	1.24242e-005
488281	1.23831e-005
490189	1.26439e-005
492096	1.23371e-005
494003	1.22513e-005
495911	1.23938e-005
497818	1.24574e-005
499725	1.18609e-005
501633	1.24679e-005
503540	1.22564e-005
505447	1.178e-005
507355	1.21154e-005
509262	1.17203e-005
511169	1.20047e-005
513077	1.1859e-005
514984	1.15988e-005
516892	1.19159e-005
518799	1.18562e-005
520706	1.18375e-005
522614	1.17093e-005
524521	1.23086e-005
526428	1.15386e-005
528336	1.1576e-005
530243	1.16654e-005
532150	1.1287e-005
534058	1.15599e-005
535965	1.1385e-005
537872	1.08935e-005
539780	1.13283e-005
541687	1.12177e-005
543594	1.11563e-005
545502	1.10635e-005
547409	1.05605e-005
549316	1.12558e-005
551224	1.09784e-005
553131	1.08113e-005
555038	1.09373e-005
556946	1.12762e-005
558853	1.07682e-005
560761	1.11799e-005
562668	1.05372e-005
564575	1.05985e-005
566483	1.1049e-005
568390	1.07522e-005
570297	1.05489e-005
572205	1.07236e-005
574112	1.06566e-005
576019	1.04137e-005
577927	1.0471e-005
579834	1.07231e-005
581741	1.01029e-005
583649	1.0575e-005
585556	1.07354e-005
587463	1.05625e-005
589371	1.01567e-005
591278	1.04758e-005
593185	9.86685e-006
595093	1.04222e-005
597000	9.61168e-006
598908	1.00932e-005
600815	1.03802e-005
602722	9.80232e-006
604630	1.01746e-005
606537	1.00926e-005
608444	9.87395e-006
610352	9.77627e-006
612259	9.68856e-006
614166	9.99304e-006
616074	9.91498e-006
617981	9.92322e-006
619888	9.53202e-006
621796	9.90292e-006
623703	9.74337e-006
625610	1.00664e-005
627518	9.81211e-006
629425	9.88794e-006
631332	9.73797e-006
633240	9.64e-006
635147	9.66323e-006
637054	9.65848e-006
638962	9.14019e-006
640869	9.79545e-006
642777	9.1802e-006
644684	9.5594e-006
646591	9.42343e-006
648499	9.56936e-006
650406	9.08111e-006
652313	9.22292e-006
654221	9.57272e-006
656128	9.26236e-006
658035	9.11122e-006
659943	9.07784e-006
661850	9.20648e-006
663757	9.35642e-006
665665	9.07816e-006
667572	9.27072e-006
669479	8.97397e-006
671387	9.00734e-006
673294	8.99098e-006
675201	9.63581e-006
677109	9.01879e-006
679016	9.21773e-006
680924	8.79483e-006
682831	8.94338e-006
684738	8.85139e-006
686646	8.72049e-006
688553	9.19806e-006
690460	9.10561e-006
692368	8.8893e-006
694275	8.82895e-006
696182	8.83537e-006
698090	8.64299e-006
699997	8.84777e-006
701904	9.0115e-006
703812	8.77661e-006
705719	8.48312e-006
707626	8.82268e-006
709534	8.32647e-006
711441	8.47708e-006
713348	8.45815e-006
715256	8.83407e-006
717163	8.36518e-006
719070	8.49656e-006
720978	8.54628e-006
722885	8.60401e-006
724793	8.50368e-006
726700	8.3575e-006
728607	8.43973e-006
730515	8.65957e-006
732422	8.55806e-006
734329	8.26922e-006
736237	8.36679e-006
738144	8.47781e-006
740051	8.30084e-006
741959	8.43774e-006
743866	8.32661e-006
745773	8.55274e-006
747681	8.02491e-006
749588	8.24795e-006
751495	8.32212e-006
753403	8.3342e-006
755310	7.97782e-006
757217	8.05187e-006
759125	7.8321e-006
761032	8.15851e-006
762940	8.04355e-006
764847	8.00713e-006
766754	8.48505e-006
768662	8.13633e-006
770569	8.03391e-006
772476	7.93888e-006
774384	8.05102e-006
776291	7.75016e-006
778198	7.90371e-006
780106	7.94744e-006
782013	7.8318e-006
783920	7.90443e-006
785828	8.24118e-006
787735	8.00661e-006
789642	8.0066e-006
791550	7.81863e-006
793457	7.59381e-006
795364	8.13141e-006
797272	8.11536e-006
799179	7.6886e-006
801086	7.6827e-006
802994	7.47158e-006
804901	7.79155e-006
806809	7.7064e-006
808716	7.71373e-006
810623	7.40609e-006
812531	7.61664e-006
814438	7.59458e-006
816345	7.29745e-006
818253	7.55287e-006
820160	7.61439e-006
822067	7.68592e-006
823975	7.55621e-006
825882	7.41895e-006
827789	7.76941e-006
829697	7.61696e-006
831604	7.59236e-006
833511	7.42757e-006
835419	7.57051e-006
837326	7.49423e-006
839233	7.34554e-006
841141	7.38684e-006
843048	7.59286e-006
844955	7.32286e-006
846863	7.55713e-006
848770	7.18924e-006
850678	7.3009e-006
852585	7.57902e-006
854492	7.32695e-006
856400	7.38996e-006
858307	7.14135e-006
860214	7.23756e-006
862122	7.44676e-006
864029	7.32104e-006
865936	7.27775e-006
867844	7.09892e-006
869751	7.10658e-006
871658	6.83154e-006
873566	7.17933e-006
875473	7.19699e-006
877380	7.05411e-006
879288	7.06804e-006
881195	7.05004e-006
883102	7.21034e-006
885010	7.17332e-006
886917	7.07224e-006
888825	6.92791e-006
890732	6.97267e-006
892639	7.16138e-006
894547	7.14423e-006
896454	7.01862e-006
898361	7.05215e-006
900269	7.05518e-006
902176	6.66302e-006
904083	6.72132e-006
905991	7.12223e-006
907898	6.61393e-006
909805	6.85038e-006
911713	6.85594e-006
913620	6.99645e-006
915527	7.17703e-006
917435	6.64812e-006
919342	6.99085e-006
921249	6.61676e-006
923157	6.85637e-006
925064	6.76475e-006
926971	6.61404e-006
928879	6.53767e-006
930786	6.74673e-006
932694	6.86752e-006
934601	6.83695e-006
936508	6.69284e-006
938416	6.71886e-006
940323	6.99356e-006
942230	6.5777e-006
944138	6.48985e-006
946045	6.85686e-006
947952	6.73174e-006
949860	6.51153e-006
951767	6.38412e-006
953674	6.51161e-006
955582	6.36207e-006
957489	6.65206e-006
