/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 18:42:41 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
13542.2	0.000122644
13589.9	0.000124491
13637.5	0.00012178
13685.2	0.000126476
13732.9	0.000124747
13780.6	0.000127064
13828.3	0.000120707
13876	0.00012399
13923.6	0.000126937
13971.3	0.00012258
14019	0.000123474
14066.7	0.000129354
14114.4	0.0001244
14162.1	0.000121763
14209.7	0.000121539
14257.4	0.000118171
14305.1	0.000122052
14352.8	0.000126456
14400.5	0.00012622
14448.2	0.000125735
14495.8	0.000124633
14543.5	0.000126828
14591.2	0.000124617
14638.9	0.000122693
14686.6	0.000128393
14734.3	0.000125783
14782	0.000127589
14829.6	0.000123688
14877.3	0.000122166
14925	0.000123655
14972.7	0.000124024
15020.4	0.000122425
15068.1	0.00012071
15115.7	0.000123335
15163.4	0.000126681
15211.1	0.000124473
15258.8	0.000118937
15306.5	0.000126564
15354.2	0.000122109
15401.8	0.000122294
15449.5	0.000124203
15497.2	0.000124094
15544.9	0.000123524
15592.6	0.000123021
15640.3	0.000118842
15687.9	0.000121334
15735.6	0.000121643
15783.3	0.000121456
15831	0.000128097
15878.7	0.000123618
15926.4	0.000123784
15974	0.000124566
16021.7	0.00012018
16069.4	0.000121868
16117.1	0.000119106
16164.8	0.000124749
16212.5	0.0001238
16260.1	0.000122008
16307.8	0.000123036
16355.5	0.000118629
16403.2	0.000122794
16450.9	0.000121264
16498.6	0.000127919
16546.3	0.000121664
16593.9	0.000122858
16641.6	0.000119778
16689.3	0.000121826
16737	0.000124419
16784.7	0.000122125
16832.4	0.000122175
16880	0.000126484
16927.7	0.000121078
16975.4	0.000121536
17023.1	0.000124089
17070.8	0.000122805
17118.5	0.000127294
17166.1	0.000121968
17213.8	0.000122401
17261.5	0.0001253
17309.2	0.000123674
17356.9	0.000121499
17404.6	0.00012194
17452.2	0.00012189
17499.9	0.000123907
17547.6	0.000119132
17595.3	0.000115809
17643	0.000122227
17690.7	0.000123585
17738.3	0.000114637
17786	0.000122267
17833.7	0.0001219
17881.4	0.000121897
17929.1	0.000125973
17976.8	0.000120729
18024.4	0.000119873
18072.1	0.00012691
18119.8	0.00011639
18167.5	0.000118037
18215.2	0.000120127
18262.9	0.000122188
18310.5	0.000123421
18358.2	0.000117348
18405.9	0.000123032
18453.6	0.000119158
18501.3	0.000117357
18549	0.000115796
18596.6	0.000117166
18644.3	0.000121404
18692	0.000118271
18739.7	0.00012068
18787.4	0.000124075
18835.1	0.000118485
18882.8	0.000115629
18930.4	0.000123399
18978.1	0.000119403
19025.8	0.00011466
19073.5	0.000120852
19121.2	0.000116031
19168.9	0.000119543
19216.5	0.000119937
19264.2	0.000120335
19311.9	0.000120018
19359.6	0.000119568
19407.3	0.000120125
19455	0.000117006
19502.6	0.000121417
19550.3	0.000116539
19598	0.000117923
19645.7	0.000116006
19693.4	0.000117674
19741.1	0.000116649
19788.7	0.000118755
19836.4	0.000121607
19884.1	0.00011891
19931.8	0.000122877
19979.5	0.000118556
20027.2	0.000119751
20074.8	0.000119807
20122.5	0.000115343
20170.2	0.000118966
20217.9	0.000120062
20265.6	0.000120304
20313.3	0.000122417
20360.9	0.000119504
20408.6	0.000117198
20456.3	0.000118301
20504	0.000121996
20551.7	0.000117744
20599.4	0.000116896
20647	0.000118886
20694.7	0.000122955
20742.4	0.000116875
20790.1	0.000121797
20837.8	0.000116222
20885.5	0.000118713
20933.2	0.000114583
20980.8	0.000121261
21028.5	0.000117193
21076.2	0.000116021
21123.9	0.00011817
