/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 15:6:41 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
13732.9	0.000153186
13780.6	0.000148927
13828.3	0.000152226
13876	0.000154978
13923.6	0.000151603
13971.3	0.000146141
14019	0.000149487
14066.7	0.000152786
14114.4	0.000151497
14162.1	0.000153094
14209.7	0.000150045
14257.4	0.000147673
14305.1	0.000146567
14352.8	0.000150331
14400.5	0.000148894
14448.2	0.000155502
14495.8	0.00014709
14543.5	0.00014873
14591.2	0.000147111
14638.9	0.000151742
14686.6	0.000151425
14734.3	0.000146211
14782	0.000148192
14829.6	0.000148015
14877.3	0.000151001
14925	0.000144846
14972.7	0.000150181
15020.4	0.000143638
15068.1	0.000149666
15115.7	0.000152156
15163.4	0.000147158
15211.1	0.000150763
15258.8	0.000148258
15306.5	0.000155421
15354.2	0.000151222
15401.8	0.000158019
15449.5	0.000147788
15497.2	0.000144068
15544.9	0.000158915
15592.6	0.000143626
15640.3	0.00014489
15687.9	0.000146317
15735.6	0.000147575
15783.3	0.000157419
15831	0.000151347
15878.7	0.000147262
15926.4	0.000151225
15974	0.000147111
16021.7	0.000153464
16069.4	0.000145089
16117.1	0.000143695
16164.8	0.000144581
16212.5	0.000150767
16260.1	0.000141785
16307.8	0.000148551
16355.5	0.000146323
16403.2	0.000147656
16450.9	0.000148624
16498.6	0.000152559
16546.3	0.000147942
16593.9	0.000147798
16641.6	0.000145978
16689.3	0.000149592
16737	0.000150226
16784.7	0.000147715
16832.4	0.00015086
16880	0.000147559
16927.7	0.000144868
16975.4	0.000149884
17023.1	0.000150183
17070.8	0.000144098
17118.5	0.000150439
17166.1	0.000145071
17213.8	0.000145142
17261.5	0.0001434
17309.2	0.000148509
17356.9	0.0001495
17404.6	0.000145753
17452.2	0.000144829
17499.9	0.000147527
17547.6	0.000143515
17595.3	0.000146671
17643	0.000143988
17690.7	0.000149286
17738.3	0.000141591
17786	0.000145622
17833.7	0.000143561
17881.4	0.000150613
17929.1	0.000140621
17976.8	0.000142209
18024.4	0.000155359
18072.1	0.000144524
18119.8	0.00014195
18167.5	0.000142406
18215.2	0.000148764
18262.9	0.000144864
18310.5	0.000146947
18358.2	0.000150023
18405.9	0.000144184
18453.6	0.000152681
18501.3	0.000146306
18549	0.00015457
18596.6	0.000147253
18644.3	0.000147258
18692	0.000144754
18739.7	0.000141262
18787.4	0.000143692
18835.1	0.000153447
18882.8	0.000145315
18930.4	0.000146243
18978.1	0.00014493
19025.8	0.000149369
19073.5	0.000146206
19121.2	0.000142964
19168.9	0.000147032
19216.5	0.000150377
19264.2	0.000150592
19311.9	0.000148329
19359.6	0.000145415
19407.3	0.000147063
19455	0.000146609
19502.6	0.000142245
19550.3	0.000142706
19598	0.000144732
19645.7	0.000145717
19693.4	0.000143768
19741.1	0.000145495
19788.7	0.000145434
19836.4	0.00014417
19884.1	0.000147629
19931.8	0.000140136
19979.5	0.000144133
20027.2	0.000146709
20074.8	0.000146886
20122.5	0.000146268
20170.2	0.000144819
20217.9	0.000147427
20265.6	0.000149486
20313.3	0.000143987
20360.9	0.000140355
20408.6	0.000149346
20456.3	0.000146324
20504	0.000134893
20551.7	0.000140158
20599.4	0.000141681
20647	0.00013714
20694.7	0.00013933
20742.4	0.000149767
20790.1	0.000140847
20837.8	0.000141816
20885.5	0.0001475
20933.2	0.00013794
20980.8	0.000139187
21028.5	0.000140774
21076.2	0.000139716
21123.9	0.000135333
21171.6	0.000153663
21219.3	0.000140883
21266.9	0.000143743
21314.6	0.000141195
21362.3	0.00014889
21410	0.0001446
21457.7	0.000144716
21505.4	0.000146922
21553	0.000147748
21600.7	0.000142794
21648.4	0.000140113
21696.1	0.0001447
21743.8	0.000142806
21791.5	0.000137358
21839.1	0.000137348
21886.8	0.000142569
21934.5	0.000141049
21982.2	0.000142566
22029.9	0.000146824
22077.6	0.00014113
22125.2	0.000137931
22172.9	0.000137625
22220.6	0.000145885
22268.3	0.000149628
22316	0.000142669
22363.7	0.000140192
22411.3	0.00014078
22459	0.000146022
22506.7	0.000144457
22554.4	0.000137415
22602.1	0.000139583
22649.8	0.000140921
22697.4	0.000132783
22745.1	0.000143896
22792.8	0.000141673
22840.5	0.000146056
22888.2	0.00013661
22935.9	0.000144088
22983.6	0.000138541
23031.2	0.00014246
23078.9	0.000144051
23126.6	0.000142357
23174.3	0.000139874
23222	0.000136433
23269.7	0.000143069
23317.3	0.000140573
23365	0.000142658
23412.7	0.000137981
23460.4	0.000141932
23508.1	0.000143463
23555.8	0.000141878
23603.4	0.000142753
23651.1	0.000136887
23698.8	0.000144571
23746.5	0.000140714
23794.2	0.000139595
23841.9	0.000141689
23889.5	0.00014446
23937.2	0.000140588
23984.9	0.000139446
24032.6	0.000136517
24080.3	0.000134193
24128	0.000143434
24175.6	0.000141085
24223.3	0.000134133
24271	0.000135365
24318.7	0.000144179
24366.4	0.000144604
24414.1	0.000150443
24461.7	0.000135448
24509.4	0.000146577
24557.1	0.000140663
24604.8	0.000140695
24652.5	0.00013118
24700.2	0.000137473
24747.8	0.000142521
24795.5	0.000136155
24843.2	0.000139335
24890.9	0.000143815
24938.6	0.000135308
24986.3	0.000138338
25034	0.000139186
25081.6	0.000139765
25129.3	0.000141801
25177	0.000139493
25224.7	0.00014182
25272.4	0.000136717
25320.1	0.000139564
25367.7	0.000138284
25415.4	0.000136154
25463.1	0.000135555
25510.8	0.000136355
25558.5	0.00013978
25606.2	0.000135895
25653.8	0.00014112
25701.5	0.000139384
25749.2	0.00013823
25796.9	0.000138312
25844.6	0.000136093
25892.3	0.000134699
25939.9	0.000131118
25987.6	0.000136116
26035.3	0.000142527
26083	0.000137448
26130.7	0.000140278
26178.4	0.000136508
26226	0.000141385
26273.7	0.000131227
26321.4	0.000142698
26369.1	0.00013742
26416.8	0.000140546
26464.5	0.000129542
26512.1	0.000134555
26559.8	0.000137084
26607.5	0.000138818
26655.2	0.000133719
26702.9	0.000139345
26750.6	0.000136306
26798.2	0.000133553
26845.9	0.000136078
26893.6	0.000137299
26941.3	0.000133359
26989	0.000135437
27036.7	0.000139009
27084.4	0.000130898
27132	0.000138478
27179.7	0.000130365
27227.4	0.000136098
27275.1	0.000135466
27322.8	0.000134046
27370.5	0.000136401
27418.1	0.000134388
