/* x,Curve4
0.000377491,1.59704
0.015144,1.59906
0.0362569,1.60315
0.059537,1.61144
0.080712,1.61974
0.10619,1.63435
0.125291,1.64478
0.14235,1.65944
0.16368,1.67829
0.182843,1.69294
0.199932,1.70971
0.219127,1.72646
0.238352,1.74533
0.259745,1.7684
0.283243,1.79146
0.302499,1.81243
0.323892,1.8355
0.349494,1.85855
0.368689,1.8753
0.394291,1.89835
0.426241,1.92346
0.449645,1.94019
0.468777,1.95273
0.490014,1.96525
0.513325,1.97565
0.536637,1.98606
0.564096,1.99221
0.589419,1.99627
0.612637,2.00034
0.635761,1.99809
0.652509,1.99165
0.673373,1.97886
0.696342,1.96606
0.710922,1.95542
0.729619,1.93842
0.748285,1.91931
0.766857,1.89388
0.78543,1.86845
0.801866,1.84092
0.814155,1.81763
0.826474,1.79646
0.838825,1.77739
0.851144,1.75622
0.867581,1.72869
0.884048,1.70327
0.898411,1.67786
0.91494,1.65666
0.927291,1.63759
0.943883,1.62061
0.958463,1.60997
0.979389,1.6014
0.991988,1.59921
1.00041,1.59915
