/* x,Curve2
0.0063907,1.71937
0.0165119,1.69188
0.0287071,1.66227
0.0409022,1.63265
0.0551403,1.59881
0.0652304,1.56921
0.0774878,1.54381
0.089714,1.51631
0.0998663,1.49093
0.11005,1.46766
0.120171,1.44017
0.128249,1.41691
0.138464,1.39575
0.148585,1.36826
0.156663,1.345
0.168889,1.3175
0.179104,1.29633
0.187182,1.27308
0.197334,1.2477
0.209592,1.2223
0.219682,1.1927
0.229741,1.16099
0.244072,1.13348
0.257045,1.1566
0.267881,1.17763
0.280822,1.19864
0.293794,1.22177
0.306798,1.247
0.319801,1.27224
0.332805,1.29747
0.347976,1.32691
0.360948,1.35004
0.380422,1.38578
0.393425,1.41101
0.406336,1.42992
0.415036,1.44885
0.425903,1.47199
0.438875,1.49511
0.449712,1.51614
0.467049,1.54979
0.484325,1.57921
0.501601,1.60864
0.516803,1.64019
0.52767,1.66333
0.54281,1.69066
0.553677,1.7138
0.573027,1.7411
0.586061,1.76844
0.601139,1.79155
0.616309,1.82099
0.631418,1.84621
0.650737,1.87141
0.670055,1.8966
0.691479,1.92178
0.70863,1.94277
0.732097,1.96372
0.757606,1.98044
0.776707,1.99086
0.795746,1.99707
0.821038,1.99902
0.83568,1.9926
0.85026,1.98196
0.864747,1.96499
0.879234,1.94802
0.893721,1.93105
0.90406,1.91833
0.91641,1.89926
0.926656,1.88021
0.94108,1.85902
0.951295,1.83786
0.961509,1.8167
0.971755,1.79765
0.981938,1.77438
0.994289,1.75531
0.998281,1.74052
