x-axis,1,2
second,Volt,Volt
-10.62000E-03,-488.44181E-03,+22.92617E-03
-10.60950E-03,-489.18969E-03,+22.88632E-03
-10.59900E-03,-489.84728E-03,+22.86880E-03
-10.58850E-03,-490.29679E-03,+22.87224E-03
-10.57800E-03,-490.69919E-03,+22.90075E-03
-10.56750E-03,-491.26059E-03,+22.91277E-03
-10.55700E-03,-491.84162E-03,+22.93957E-03
-10.54650E-03,-492.32451E-03,+22.89285E-03
-10.53600E-03,-492.81328E-03,+22.88048E-03
-10.52550E-03,-493.15876E-03,+22.91209E-03
-10.51500E-03,-493.44927E-03,+22.88048E-03
-10.50450E-03,-493.65734E-03,+22.87018E-03
-10.49400E-03,-493.92430E-03,+22.91518E-03
-10.48350E-03,-494.25015E-03,+22.94197E-03
-10.47300E-03,-494.66826E-03,+22.92960E-03
-10.46250E-03,-495.20807E-03,+22.89285E-03
-10.45200E-03,-495.69684E-03,+22.87842E-03
-10.44150E-03,-496.10709E-03,+22.86399E-03
-10.43100E-03,-496.56838E-03,+22.89285E-03
-10.42050E-03,-497.21026E-03,+22.90315E-03
-10.41000E-03,-498.01311E-03,+22.92583E-03
-10.39950E-03,-498.88858E-03,+22.88598E-03
-10.38900E-03,-499.55009E-03,+22.90350E-03
-10.37850E-03,-499.97016E-03,+22.91277E-03
-10.36800E-03,-500.32545E-03,+22.90281E-03
-10.35750E-03,-500.75533E-03,+22.88254E-03
-10.34700E-03,-501.14792E-03,+22.90144E-03
-10.33650E-03,-501.44629E-03,+22.88323E-03
-10.32600E-03,-501.65240E-03,+22.87396E-03
-10.31550E-03,-501.73484E-03,+22.92960E-03
-10.30500E-03,-501.83102E-03,+22.91312E-03
-10.29450E-03,-501.81925E-03,+22.94884E-03
-10.28400E-03,-501.71717E-03,+22.98113E-03
-10.27350E-03,-501.52481E-03,+22.96499E-03
-10.26300E-03,-501.19307E-03,+22.97495E-03
-10.25250E-03,-500.74945E-03,+23.01308E-03
-10.24200E-03,-500.40004E-03,+23.06495E-03
-10.23150E-03,-500.07812E-03,+23.00793E-03
-10.22100E-03,-499.61683E-03,+23.02854E-03
-10.21050E-03,-499.00243E-03,+23.00209E-03
-10.20000E-03,-498.14659E-03,+23.03884E-03
-10.18950E-03,-497.29271E-03,+22.99693E-03
-10.17900E-03,-496.72738E-03,+23.04468E-03
-10.16850E-03,-496.28965E-03,+23.05155E-03
-10.15800E-03,-495.85780E-03,+23.04571E-03
-10.14750E-03,-495.28266E-03,+23.06667E-03
-10.13700E-03,-494.83314E-03,+23.01136E-03
